Property,All Properties (without DPO) Model Mean,All Properties (without DPO) Model Std,All Properties (without DPO) Model Median,All properties (with DPO) Model Mean,All properties (with DPO) Model Std,All properties (with DPO) Model Median,Mean Diff,Std Diff
affinity,-7.916257796257796,1.1318181840807715,-8.0,-7.863680838672102,1.274188871124865,-7.8,0.052576957585693584,0.1423706870440935
logps,3.9447367484407505,0.9819220404171441,3.816650000000002,4.117471813628424,1.1115948374758433,4.1365000000000025,0.1727350651876738,0.12967279705869916
qeds,0.7653867218618188,0.08307517139763242,0.7832922707866685,0.6491437808014949,0.13843473483342947,0.6651814936525148,-0.11624294106032385,0.05535956343579705
sas,2.981396119152735,1.0252517868680247,2.475566130709991,3.1691113061843197,1.0798205774908196,2.8067842342713085,0.18771518703158474,0.05456879062279496
tpsas,54.40876507276508,24.245856941852498,58.2,55.618447291788,24.86294628317521,59.150000000000006,1.2096822190229233,0.6170893413227105
